guid,sentence,subject_entity,object_entity,label,source,subject,object,subject_type,object_type,type_pair,input_text,pred_label,gold_label_name,pred_label_name,confidence,correct
klue-re-v1_dev_03087,함평군청소년상담복지센터·꿈드림에서 지난 12월 26일 제4차 실행위원회를 진행했다.,"{'word': '꿈드림', 'start_idx': 13, 'end_idx': 15, 'type': 'ORG'}","{'word': '함평군청소년상담복지센터', 'start_idx': 0, 'end_idx': 11, 'type': 'ORG'}",4,wikitree,꿈드림,함평군청소년상담복지센터,ORG,ORG,ORG-ORG,# ^ organization ^ 함평군청소년상담복지센터 #·@ * organization * 꿈드림 @에서 지난 12월 26일 제4차 실행위원회를 진행했다. [SEP] 꿈드림과 함평군청소년상담복지센터의 관계는 무엇입니까?,0,org:alternate_names,no_relation,0.99995124,False
klue-re-v1_dev_05898,"인천에서 출생하였으며 지난날 한때 경기도 시흥에서 잠시 유아기를 보낸 적이 있는 그녀는 훗날 2012년부터 2014년까지 일본에서 퓨리티의 멤버로 활동하였으나, 대한민국에서는 데뷔도 못한 채, 2년 만에 팀이 해체되었다.","{'word': '퓨리티', 'start_idx': 73, 'end_idx': 75, 'type': 'PER'}","{'word': '2014년', 'start_idx': 60, 'end_idx': 64, 'type': 'DAT'}",1,wikipedia,퓨리티,2014년,PER,DAT,PER-DAT,"인천에서 출생하였으며 지난날 한때 경기도 시흥에서 잠시 유아기를 보낸 적이 있는 그녀는 훗날 2012년부터 # ^ date ^ 2014년 #까지 일본에서 @ * person * 퓨리티 @의 멤버로 활동하였으나, 대한민국에서는 데뷔도 못한 채, 2년 만에 팀이 해체되었다. [SEP] 퓨리티과 2014년의 관계는 무엇입니까?",0,org:dissolved,no_relation,0.99994373,False
klue-re-v1_dev_05342,"또, 루벤스는 안트베르펜에 있는 도미니칸 교회에서 ""로자리오의 마돈나(Kunsthistorisches 박물관, 베니스)""를 구입하는 것을 돕기도 했다.","{'word': '루벤스', 'start_idx': 3, 'end_idx': 5, 'type': 'PER'}","{'word': '안트베르펜', 'start_idx': 8, 'end_idx': 12, 'type': 'LOC'}",17,wikipedia,루벤스,안트베르펜,PER,LOC,PER-LOC,"또, @ * person * 루벤스 @는 # ^ location ^ 안트베르펜 #에 있는 도미니칸 교회에서 ""로자리오의 마돈나(Kunsthistorisches 박물관, 베니스)""를 구입하는 것을 돕기도 했다. [SEP] 루벤스과 안트베르펜의 관계는 무엇입니까?",0,per:origin,no_relation,0.9999281,False
klue-re-v1_dev_07561,"사태가 급박해지자, 창의사 김천일이 군사 3백 명을 거느리고 진주로 왔고, 충청병사 황진이 7백 명, 경상우병사 최경회가 5백 명을, 의병 복수장 고종후가 4백 명, 부장 장윤이 3백 명, 의병장 이계련이 1백 명, 의병장 변사정의 부장이 3백 명, 의병장 민여운이 2백여 명을 거느리고 와서 초유사 김성일, 목사 서예원과 김준민, 이종인 등과 수성을 논의했다.","{'word': '황진', 'start_idx': 47, 'end_idx': 48, 'type': 'PER'}","{'word': '경상우병사', 'start_idx': 57, 'end_idx': 61, 'type': 'POH'}",26,wikipedia,황진,경상우병사,PER,POH,PER-POH,"사태가 급박해지자, 창의사 김천일이 군사 3백 명을 거느리고 진주로 왔고, 충청병사 @ * person * 황진 @이 7백 명, # ^ other ^ 경상우병사 # 최경회가 5백 명을, 의병 복수장 고종후가 4백 명, 부장 장윤이 3백 명, 의병장 이계련이 1백 명, 의병장 변사정의 부장이 3백 명, 의병장 민여운이 2백여 명을 거느리고 와서 초유사 김성일, 목사 서예원과 김준민, 이종인 등과 수성을 논의했다. [SEP] 황진과 경상우병사의 관계는 무엇입니까?",0,per:colleagues,no_relation,0.99991333,False
klue-re-v1_dev_01430,"월간(月刊)중앙 WIN 기자, 월간(月刊)중앙 WIN 기획위원 등으로 활동하였고, 조선일보, 경향신문, 한겨레신문 등의 객원필진으로 칼럼을 기고하였다.","{'word': '조선일보', 'start_idx': 46, 'end_idx': 49, 'type': 'ORG'}","{'word': '기자', 'start_idx': 13, 'end_idx': 14, 'type': 'POH'}",10,wikipedia,조선일보,기자,ORG,POH,ORG-POH,"월간(月刊)중앙 WIN # ^ other ^ 기자 #, 월간(月刊)중앙 WIN 기획위원 등으로 활동하였고, @ * organization * 조선일보 @, 경향신문, 한겨레신문 등의 객원필진으로 칼럼을 기고하였다. [SEP] 조선일보과 기자의 관계는 무엇입니까?",0,org:top_members/employees,no_relation,0.99991226,False
klue-re-v1_dev_05102,"이 강사는 녹색연합 기후에너지국장, 에너지기후정책연구소 연구기획위원을 역임하고, 현재 에너지전환포럼 이사, 환경부 중앙환경정책위원회 위원 등으로 활동하고 있다.","{'word': '에너지기후정책연구소', 'start_idx': 20, 'end_idx': 29, 'type': 'ORG'}","{'word': '이사', 'start_idx': 56, 'end_idx': 57, 'type': 'POH'}",10,wikitree,에너지기후정책연구소,이사,ORG,POH,ORG-POH,"이 강사는 녹색연합 기후에너지국장, @ * organization * 에너지기후정책연구소 @ 연구기획위원을 역임하고, 현재 에너지전환포럼 # ^ other ^ 이사 #, 환경부 중앙환경정책위원회 위원 등으로 활동하고 있다. [SEP] 에너지기후정책연구소과 이사의 관계는 무엇입니까?",0,org:top_members/employees,no_relation,0.9999037,False
klue-re-v1_dev_04163,"전공은 계량정치학·정치과정론. 와세다 대학 정치경제학술원 교수, 오하이오 주립 대학교 정치학 박사이다.","{'word': '오하이오 주립 대학교', 'start_idx': 36, 'end_idx': 46, 'type': 'ORG'}","{'word': '교수', 'start_idx': 32, 'end_idx': 33, 'type': 'POH'}",10,wikipedia,오하이오 주립 대학교,교수,ORG,POH,ORG-POH,"전공은 계량정치학·정치과정론. 와세다 대학 정치경제학술원 # ^ other ^ 교수 #, @ * organization * 오하이오 주립 대학교 @ 정치학 박사이다. [SEP] 오하이오 주립 대학교과 교수의 관계는 무엇입니까?",0,org:top_members/employees,no_relation,0.9998995,False
klue-re-v1_dev_04935,"위청은 공적으로 인해 3,800호를 받아 장평후에 봉해졌고, 휘하 교위인 소건과 장차공도 공적으로 인해 각각 평릉후·안두후에 봉해졌다.","{'word': '위청', 'start_idx': 0, 'end_idx': 1, 'type': 'PER'}","{'word': '평릉후', 'start_idx': 61, 'end_idx': 63, 'type': 'POH'}",29,wikipedia,위청,평릉후,PER,POH,PER-POH,"@ * person * 위청 @은 공적으로 인해 3,800호를 받아 장평후에 봉해졌고, 휘하 교위인 소건과 장차공도 공적으로 인해 각각 # ^ other ^ 평릉후 #·안두후에 봉해졌다. [SEP] 위청과 평릉후의 관계는 무엇입니까?",0,per:title,no_relation,0.9998901,False
klue-re-v1_dev_02382,"히틀러유겐트 사단이 캐나다군 선봉 부대 일부를 압박해 3킬로미터 이상 후퇴시켰지만, 노스 노바스코샤 하이랜더 연대 잔존병들은 제25 SS 기갑척탄병 연대를 저지하고 견고한 방어선을 구축했다.","{'word': '캐나다군', 'start_idx': 11, 'end_idx': 14, 'type': 'ORG'}","{'word': '노스 노바스코샤 하이랜더 연대', 'start_idx': 47, 'end_idx': 62, 'type': 'ORG'}",6,wikipedia,캐나다군,노스 노바스코샤 하이랜더 연대,ORG,ORG,ORG-ORG,"히틀러유겐트 사단이 @ * organization * 캐나다군 @ 선봉 부대 일부를 압박해 3킬로미터 이상 후퇴시켰지만, # ^ organization ^ 노스 노바스코샤 하이랜더 연대 # 잔존병들은 제25 SS 기갑척탄병 연대를 저지하고 견고한 방어선을 구축했다. [SEP] 캐나다군과 노스 노바스코샤 하이랜더 연대의 관계는 무엇입니까?",0,org:members,no_relation,0.9998871,False
klue-re-v1_dev_01818,어려운 여건임에도 북구는 지난해 특별교부세 4억원을 들여 주거 취약계층 131세대를 대상으로 ‘행복둥지 사랑의 집수리’ 사업을 추진했으며 올해도 구비 1억원으로 55세대에게 집수리 서비스를 제공하는 한편 LH 한국주택토지공사와 함께 9억원의 사업비를 투입해 총 196세대의 자가 가구 수급자에 대한 수선유지 사업을 실시했다.,"{'word': '북구', 'start_idx': 10, 'end_idx': 11, 'type': 'ORG'}","{'word': '55세대', 'start_idx': 90, 'end_idx': 93, 'type': 'NOH'}",10,wikitree,북구,55세대,ORG,NOH,ORG-NOH,어려운 여건임에도 @ * organization * 북구 @는 지난해 특별교부세 4억원을 들여 주거 취약계층 131세대를 대상으로 ‘행복둥지 사랑의 집수리’ 사업을 추진했으며 올해도 구비 1억원으로 # ^ number ^ 55세대 #에게 집수리 서비스를 제공하는 한편 LH 한국주택토지공사와 함께 9억원의 사업비를 투입해 총 196세대의 자가 가구 수급자에 대한 수선유지 사업을 실시했다. [SEP] 북구과 55세대의 관계는 무엇입니까?,0,org:top_members/employees,no_relation,0.99987674,False
klue-re-v1_dev_03965,김진아 씨는 과거 TV조선 '연애의 맛'에 출연해 얼굴을 알렸다.,"{'word': '김진아', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': 'TV조선', 'start_idx': 10, 'end_idx': 13, 'type': 'ORG'}",17,wikitree,김진아,TV조선,PER,ORG,PER-ORG,@ * person * 김진아 @ 씨는 과거 # ^ organization ^ TV조선 # '연애의 맛'에 출연해 얼굴을 알렸다. [SEP] 김진아과 TV조선의 관계는 무엇입니까?,0,per:origin,no_relation,0.9998634,False
klue-re-v1_dev_04169,오크스 에임스의 명단에 하원들 제임스 A. 가필드와 제임스 G. 블레인 같은 다른 워싱턴 유명인들과 더불어 콜팩스와 윌슨의 이름들이 있었다.,"{'word': '오크스 에임스', 'start_idx': 0, 'end_idx': 6, 'type': 'ORG'}","{'word': '콜팩스', 'start_idx': 60, 'end_idx': 62, 'type': 'PER'}",10,wikipedia,오크스 에임스,콜팩스,ORG,PER,ORG-PER,@ * organization * 오크스 에임스 @의 명단에 하원들 제임스 A. 가필드와 제임스 G. 블레인 같은 다른 워싱턴 유명인들과 더불어 # ^ person ^ 콜팩스 #와 윌슨의 이름들이 있었다. [SEP] 오크스 에임스과 콜팩스의 관계는 무엇입니까?,0,org:top_members/employees,no_relation,0.99985135,False
klue-re-v1_dev_03814,패밀리가 떴다의 제작진의 전 프로그램인 2005년 X맨에서 이미 김종국과 이미 많은 친분을 갖고 있는 상태여서 똑같은 제작진이 제작하는 프로그램에 고정으로 출연한다는 것 자체가 낙하산이라는 점이었다.,"{'word': '김종국', 'start_idx': 36, 'end_idx': 38, 'type': 'PER'}","{'word': '패밀리가 떴다', 'start_idx': 0, 'end_idx': 6, 'type': 'POH'}",18,wikipedia,김종국,패밀리가 떴다,PER,POH,PER-POH,# ^ other ^ 패밀리가 떴다 #의 제작진의 전 프로그램인 2005년 X맨에서 이미 @ * person * 김종국 @과 이미 많은 친분을 갖고 있는 상태여서 똑같은 제작진이 제작하는 프로그램에 고정으로 출연한다는 것 자체가 낙하산이라는 점이었다. [SEP] 김종국과 패밀리가 떴다의 관계는 무엇입니까?,0,per:employee_of,no_relation,0.9998301,False
klue-re-v1_dev_07050,이승만은 미주의 한인들에게 전명운과 장인환의 변호비용으로 3000달러의 거액(당시 장인환 의사의 미국 변호사 선임비는 4000달러였다)을 요구해 사실상 변호를 거부하였다.,"{'word': '이승만', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '장인환', 'start_idx': 46, 'end_idx': 48, 'type': 'PER'}",26,wikipedia,이승만,장인환,PER,PER,PER-PER,@ * person * 이승만 @은 미주의 한인들에게 전명운과 장인환의 변호비용으로 3000달러의 거액(당시 # ^ person ^ 장인환 # 의사의 미국 변호사 선임비는 4000달러였다)을 요구해 사실상 변호를 거부하였다. [SEP] 이승만과 장인환의 관계는 무엇입니까?,0,per:colleagues,no_relation,0.9998222,False
klue-re-v1_dev_01997,"문 대통령은 ""이야기가 나온 김에 공수처에 한가지 오해가 있는데, 공수처에 대해 일각에선 야당을 탄압하려 하는 것이 아니냐고 한다""며 ""고위공직자의 거의 대부분이 정부 여당이지 않겠느냐. 사리에 맞지 않는 말씀""이라고 했다.","{'word': '문', 'start_idx': 0, 'end_idx': 0, 'type': 'PER'}","{'word': '고위공직자', 'start_idx': 76, 'end_idx': 80, 'type': 'POH'}",29,wikitree,문,고위공직자,PER,POH,PER-POH,"@ * person * 문 @ 대통령은 ""이야기가 나온 김에 공수처에 한가지 오해가 있는데, 공수처에 대해 일각에선 야당을 탄압하려 하는 것이 아니냐고 한다""며 ""# ^ other ^ 고위공직자 #의 거의 대부분이 정부 여당이지 않겠느냐. 사리에 맞지 않는 말씀""이라고 했다. [SEP] 문과 고위공직자의 관계는 무엇입니까?",0,per:title,no_relation,0.9998209,False
klue-re-v1_dev_03908,"키움 김치현 단장은 LG 외국인 선수 통역과 히어로즈 전략, 육성, 국제팀장을 지냈다.","{'word': '히어로즈', 'start_idx': 25, 'end_idx': 28, 'type': 'ORG'}","{'word': '선수', 'start_idx': 18, 'end_idx': 19, 'type': 'POH'}",10,wikitree,히어로즈,선수,ORG,POH,ORG-POH,"키움 김치현 단장은 LG 외국인 # ^ other ^ 선수 # 통역과 @ * organization * 히어로즈 @ 전략, 육성, 국제팀장을 지냈다. [SEP] 히어로즈과 선수의 관계는 무엇입니까?",0,org:top_members/employees,no_relation,0.99978644,False
klue-re-v1_dev_03742,"괴테의 생애에 관한 서류와 작품들, 유명한 예술가들의 조각가 회화가 전시되어 있다.","{'word': '괴테', 'start_idx': 0, 'end_idx': 1, 'type': 'PER'}","{'word': '예술가', 'start_idx': 24, 'end_idx': 26, 'type': 'POH'}",29,wikipedia,괴테,예술가,PER,POH,PER-POH,"@ * person * 괴테 @의 생애에 관한 서류와 작품들, 유명한 # ^ other ^ 예술가 #들의 조각가 회화가 전시되어 있다. [SEP] 괴테과 예술가의 관계는 무엇입니까?",0,per:title,no_relation,0.9997631,False
klue-re-v1_dev_02586,"그러나 프랑스식 피트 단위로 매겨진 5피트 2인치를 환산하지 않고, 영국식 피트 단위로 받아들이는 바람에 나폴레옹의 키가 158cm가 되어 키가 작은 사람이 돼버린 것이었다.","{'word': '나폴레옹', 'start_idx': 59, 'end_idx': 62, 'type': 'PER'}","{'word': '프랑스', 'start_idx': 4, 'end_idx': 6, 'type': 'LOC'}",17,wikipedia,나폴레옹,프랑스,PER,LOC,PER-LOC,"그러나 # ^ location ^ 프랑스 #식 피트 단위로 매겨진 5피트 2인치를 환산하지 않고, 영국식 피트 단위로 받아들이는 바람에 @ * person * 나폴레옹 @의 키가 158cm가 되어 키가 작은 사람이 돼버린 것이었다. [SEP] 나폴레옹과 프랑스의 관계는 무엇입니까?",0,per:origin,no_relation,0.9997546,False
klue-re-v1_dev_03735,사드를 철회하면 주한미군의 대대적 감축이나 철수론이 본격적으로 등장할 수밖에 없고 한·미 동맹은 심각하게 흔들리게 된다.,"{'word': '주한미군', 'start_idx': 9, 'end_idx': 12, 'type': 'ORG'}","{'word': '사드', 'start_idx': 0, 'end_idx': 1, 'type': 'POH'}",8,wikipedia,주한미군,사드,ORG,POH,ORG-POH,# ^ other ^ 사드 #를 철회하면 @ * organization * 주한미군 @의 대대적 감축이나 철수론이 본격적으로 등장할 수밖에 없고 한·미 동맹은 심각하게 흔들리게 된다. [SEP] 주한미군과 사드의 관계는 무엇입니까?,0,org:product,no_relation,0.9997316,False
klue-re-v1_dev_01451,"제16·17대 국회의원, 서울특별시 정무부시장, 문재인 정부의 초대 대통령비서실장, 아랍에미리트 특임 외교특별보좌관 등을 역임하였다.","{'word': '정부', 'start_idx': 31, 'end_idx': 32, 'type': 'ORG'}","{'word': '서울특별시', 'start_idx': 14, 'end_idx': 18, 'type': 'LOC'}",6,wikipedia,정부,서울특별시,ORG,LOC,ORG-LOC,"제16·17대 국회의원, # ^ location ^ 서울특별시 # 정무부시장, 문재인 @ * organization * 정부 @의 초대 대통령비서실장, 아랍에미리트 특임 외교특별보좌관 등을 역임하였다. [SEP] 정부과 서울특별시의 관계는 무엇입니까?",0,org:members,no_relation,0.9997086,False
klue-re-v1_dev_05718,"몬트리올 엑스포스 시절에는 인종 차별주의자였던 프랭크 로빈슨 감독을 만나 기회를 잡지 못했고, 유격수와 충돌하며 오른손 손목 골절상을 당하는 등의 불운이 겹쳐 단 한 번도 MLB 마운드에 오르지 못한 채 귀국했다.","{'word': 'MLB', 'start_idx': 96, 'end_idx': 98, 'type': 'ORG'}","{'word': '유격수', 'start_idx': 53, 'end_idx': 55, 'type': 'POH'}",10,wikipedia,MLB,유격수,ORG,POH,ORG-POH,"몬트리올 엑스포스 시절에는 인종 차별주의자였던 프랭크 로빈슨 감독을 만나 기회를 잡지 못했고, # ^ other ^ 유격수 #와 충돌하며 오른손 손목 골절상을 당하는 등의 불운이 겹쳐 단 한 번도 @ * organization * MLB @ 마운드에 오르지 못한 채 귀국했다. [SEP] MLB과 유격수의 관계는 무엇입니까?",0,org:top_members/employees,no_relation,0.9997032,False
klue-re-v1_dev_02967,현재 영광군에 등록되어 있는 차량은 연납 신청·납부 할 수 있으며 기존 연납 신청자는 별도의 신청 절차 없이 우편 발송된 고지서로 납부 가능하고 신규 신청자는 인터넷 위택스( 통해 신청 후 바로 납부 가능하다.,"{'word': '영광군', 'start_idx': 3, 'end_idx': 5, 'type': 'ORG'}","{'word': '신청자', 'start_idx': 84, 'end_idx': 86, 'type': 'POH'}",10,wikitree,영광군,신청자,ORG,POH,ORG-POH,현재 @ * organization * 영광군 @에 등록되어 있는 차량은 연납 신청·납부 할 수 있으며 기존 연납 신청자는 별도의 신청 절차 없이 우편 발송된 고지서로 납부 가능하고 신규 # ^ other ^ 신청자 #는 인터넷 위택스( 통해 신청 후 바로 납부 가능하다. [SEP] 영광군과 신청자의 관계는 무엇입니까?,0,org:top_members/employees,no_relation,0.99969244,False
klue-re-v1_dev_05460,"9일 함평군에 따르면 이날 나 권한대행은 세종시 농림축산식품부를 방문, 이개호 장관을 만나 지역현안사업에 대한 국비 지원을 건의했다.","{'word': '농림축산식품부', 'start_idx': 27, 'end_idx': 33, 'type': 'ORG'}","{'word': '이개호', 'start_idx': 40, 'end_idx': 42, 'type': 'PER'}",0,wikitree,농림축산식품부,이개호,ORG,PER,ORG-PER,"9일 함평군에 따르면 이날 나 권한대행은 세종시 @ * organization * 농림축산식품부 @를 방문, # ^ person ^ 이개호 # 장관을 만나 지역현안사업에 대한 국비 지원을 건의했다. [SEP] 농림축산식품부과 이개호의 관계는 무엇입니까?",10,no_relation,org:top_members/employees,0.99967754,False
klue-re-v1_dev_01942,"당시 아버지 직업은 교도관, 법무부 공무원이었다.","{'word': '법무부', 'start_idx': 16, 'end_idx': 18, 'type': 'ORG'}","{'word': '교도관', 'start_idx': 11, 'end_idx': 13, 'type': 'POH'}",10,wikitree,법무부,교도관,ORG,POH,ORG-POH,"당시 아버지 직업은 # ^ other ^ 교도관 #, @ * organization * 법무부 @ 공무원이었다. [SEP] 법무부과 교도관의 관계는 무엇입니까?",0,org:top_members/employees,no_relation,0.999671,False
klue-re-v1_dev_05874,"그는 ""이 시대의 가장 중요한 가치 중 하나가 성공한 정부를 갖는 것이라고 생각한다""면서 ""문재인 정부가 추구하는 혁신적 포용국가와 한반도 평화가 실현된다면 그 결실은 국민에 돌아간다""고 '성공한 정부야말로 국민의 성공'이라는 논리를 폈다.","{'word': '문재인', 'start_idx': 51, 'end_idx': 53, 'type': 'PER'}","{'word': '한반도', 'start_idx': 74, 'end_idx': 76, 'type': 'LOC'}",18,wikitree,문재인,한반도,PER,LOC,PER-LOC,"그는 ""이 시대의 가장 중요한 가치 중 하나가 성공한 정부를 갖는 것이라고 생각한다""면서 ""@ * person * 문재인 @ 정부가 추구하는 혁신적 포용국가와 # ^ location ^ 한반도 # 평화가 실현된다면 그 결실은 국민에 돌아간다""고 '성공한 정부야말로 국민의 성공'이라는 논리를 폈다. [SEP] 문재인과 한반도의 관계는 무엇입니까?",0,per:employee_of,no_relation,0.99966395,False
klue-re-v1_dev_06880,"토트넘은 지난 시즌 프리미어리그 최초로 선수를 1명도 영입하지 않았지만, 리그 4위, 챔피언스리그 2위를 기록하는 성공을 거뒀다.","{'word': '챔피언스리그', 'start_idx': 48, 'end_idx': 53, 'type': 'ORG'}","{'word': '선수', 'start_idx': 22, 'end_idx': 23, 'type': 'POH'}",10,wikitree,챔피언스리그,선수,ORG,POH,ORG-POH,"토트넘은 지난 시즌 프리미어리그 최초로 # ^ other ^ 선수 #를 1명도 영입하지 않았지만, 리그 4위, @ * organization * 챔피언스리그 @ 2위를 기록하는 성공을 거뒀다. [SEP] 챔피언스리그과 선수의 관계는 무엇입니까?",0,org:top_members/employees,no_relation,0.99966204,False
klue-re-v1_dev_00551,"특히 시는 올해 한복문화주간을 누구나 참여할 수 있는 열린마당으로 만들기 위해 3일과 5일 각각 유치원생부터 고령층까지 전 세대가 참여하는 강강술래 경연대회를 펼치고, 각각의 우승팀에게는 개막식과 폐막식 무대에서 공연을 펼칠 수 있는 기회도 주어진다.","{'word': '시', 'start_idx': 3, 'end_idx': 3, 'type': 'ORG'}","{'word': '개막식', 'start_idx': 105, 'end_idx': 107, 'type': 'POH'}",8,wikitree,시,개막식,ORG,POH,ORG-POH,"특히 @ * organization * 시 @는 올해 한복문화주간을 누구나 참여할 수 있는 열린마당으로 만들기 위해 3일과 5일 각각 유치원생부터 고령층까지 전 세대가 참여하는 강강술래 경연대회를 펼치고, 각각의 우승팀에게는 # ^ other ^ 개막식 #과 폐막식 무대에서 공연을 펼칠 수 있는 기회도 주어진다. [SEP] 시과 개막식의 관계는 무엇입니까?",0,org:product,no_relation,0.99965155,False
klue-re-v1_dev_03951,"횃불 트리니티 신학교 총장, 신동아학원 이사장을 맡으며 전주대학교, 한동대학교, 횃불트리니티 신학교 운영에 직 간접으로 참여하며 한국교회에 기독교학교운동을 저변확대 시켰다.","{'word': '한동대학교', 'start_idx': 38, 'end_idx': 42, 'type': 'ORG'}","{'word': '총장', 'start_idx': 12, 'end_idx': 13, 'type': 'POH'}",10,wikipedia,한동대학교,총장,ORG,POH,ORG-POH,"횃불 트리니티 신학교 # ^ other ^ 총장 #, 신동아학원 이사장을 맡으며 전주대학교, @ * organization * 한동대학교 @, 횃불트리니티 신학교 운영에 직 간접으로 참여하며 한국교회에 기독교학교운동을 저변확대 시켰다. [SEP] 한동대학교과 총장의 관계는 무엇입니까?",0,org:top_members/employees,no_relation,0.9996433,False
klue-re-v1_dev_01009,최형식 군수는 “돌발 상황에 대처하기 위한 협업과 소통의 활성화만이 재난이라는 불청객에 대응할 수 있는 근본적인 대처방안이다”며 “본 훈련을 통해 군 관내 재난협력 기관의 튼튼한 연대와 유기적인 협조체계 구축을 통해 재난 없는 안전한 담양군 건설에 밑바탕이 되길 바란다”라고 말했다.,"{'word': '군', 'start_idx': 82, 'end_idx': 82, 'type': 'ORG'}","{'word': '최형식', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}",0,wikitree,군,최형식,ORG,PER,ORG-PER,# ^ person ^ 최형식 # 군수는 “돌발 상황에 대처하기 위한 협업과 소통의 활성화만이 재난이라는 불청객에 대응할 수 있는 근본적인 대처방안이다”며 “본 훈련을 통해 @ * organization * 군 @ 관내 재난협력 기관의 튼튼한 연대와 유기적인 협조체계 구축을 통해 재난 없는 안전한 담양군 건설에 밑바탕이 되길 바란다”라고 말했다. [SEP] 군과 최형식의 관계는 무엇입니까?,10,no_relation,org:top_members/employees,0.9996358,False
klue-re-v1_dev_00314,"이후 대한축구협회와 프로구단들 간의 불화로 대회는 다시 아마추어 위주의 대회로 바뀌었다가, 1996년 프로와 아마추어 등 모든 형태의 성인 축구팀을 통틀어 한국 축구의 최강구단을 가리는 FA컵 대회가 다시 열리게 된다.","{'word': '대한축구협회', 'start_idx': 3, 'end_idx': 8, 'type': 'ORG'}","{'word': '프로', 'start_idx': 57, 'end_idx': 58, 'type': 'POH'}",6,wikipedia,대한축구협회,프로,ORG,POH,ORG-POH,"이후 @ * organization * 대한축구협회 @와 프로구단들 간의 불화로 대회는 다시 아마추어 위주의 대회로 바뀌었다가, 1996년 # ^ other ^ 프로 #와 아마추어 등 모든 형태의 성인 축구팀을 통틀어 한국 축구의 최강구단을 가리는 FA컵 대회가 다시 열리게 된다. [SEP] 대한축구협회과 프로의 관계는 무엇입니까?",0,org:members,no_relation,0.99962616,False
